followers_count,following_count,followers_following_ratio,account_age_days,bio_length,has_profile_pic,posts_per_day,avg_likes,avg_comments,hashtags_per_post,has_url_in_bio,posting_regularity,content_repetition_score,engagement_consistency,is_fake
54,12,4.5,3339,73,0,0.56,2.0,0,6.6,1,0.44,0.19,0.84,0
68,1777,0.038266741699493526,119,0,1,36.2,2.0,0,16.2,0,0.87,0.74,0.02,1
33,25,1.32,438,64,1,0.39,8.0,0,1.0,1,0.45,0.25,0.88,0
6056,9,672.8888888888889,1241,105,1,0.15,2.0,0,5.4,0,0.74,0.03,0.71,0
412,422,0.976303317535545,3221,107,1,2.24,2.0,0,2.6,1,0.42,0.17,0.6,0
6187,26,237.96153846153845,1813,121,1,0.42,127.0,8,1.4,0,0.55,0.04,0.7,0
17,3,5.666666666666667,3699,62,1,0.43,5.1,0,4.8,0,0.76,0.19,0.79,0
12,33,0.36363636363636365,2393,98,1,3.59,3.5999999999999996,0,3.2,0,0.77,0.19,0.59,0
328,1557,0.21066152858060372,195,131,1,15.35,0.0,0,24.2,1,0.91,0.63,0.13,1
63,7,9.0,2447,85,0,0.17,4.0,0,7.3,0,0.92,0.13,0.94,0
72,42,1.7142857142857142,2225,4,1,0.06,7.0,0,6.8,0,0.75,0.09,0.69,0
335,1635,0.20489296636085627,146,134,1,26.71,1.0,0,24.4,1,0.74,0.76,0.23,1
4,25,0.16,1165,50,1,1.88,1.2,0,5.5,1,0.53,0.08,0.92,0
35503,32186,1.1030572298514882,240,68,1,9.63,190.0,6,22.3,1,0.65,0.33,0.15,1
128,11,11.636363636363637,900,65,0,0.17,17.0,1,7.3,1,0.91,0.1,0.93,0
52602,79944,0.6579855899129391,367,89,1,3.09,176.0,1,18.2,1,0.93,0.57,0.24,1
70900,68075,1.0414983474109438,326,39,1,7.69,645.0,7,24.4,1,0.75,0.3,0.25,1
264,1477,0.17874069058903183,80,157,0,18.99,6.0,0,22.2,1,0.92,0.52,0.11,1
0,228,0.0,3341,7,1,1.37,0.0,0,0.7,0,0.58,0.2,0.91,0
15,209,0.07177033492822966,2408,74,1,1.49,4.0,0,7.2,1,0.36,0.01,0.88,0
3173,279,11.372759856630825,49,149,1,1.24,41.0,0,8.7,0,0.32,0.66,0.32,1
4497,323,13.922600619195046,5,115,1,4.21,34.0,1,9.4,0,0.7,0.62,0.36,1
94,3034,0.03098220171390903,59,17,1,28.71,0.0,0,24.5,1,0.97,0.61,0.12,1
394,4547,0.08665053881680229,105,159,1,10.61,4.0,0,25.1,1,0.82,0.67,0.17,1
28,103,0.27184466019417475,3676,30,1,0.49,1.0,0,3.0,0,0.84,0.08,0.71,0
65,29,2.2413793103448274,1550,61,1,2.53,19.5,0,8.0,0,0.84,0.07,0.51,0
50,2477,0.020185708518368994,22,146,0,25.16,0.0,0,20.3,1,0.96,0.55,0.22,1
98,5868,0.016700749829584187,44,15,1,28.57,0.0,0,20.0,1,0.88,0.73,0.19,1
90,5448,0.016519823788546256,6,0,1,38.46,2.0,0,28.7,0,0.87,0.83,0.11,1
18,2374,0.007582139848357203,106,0,0,11.9,0.0,0,29.2,1,0.96,0.91,0.18,1
72,3974,0.018117765475591345,115,19,0,41.55,2.0,0,25.1,0,0.91,0.63,0.06,1
241,1447,0.16655148583275742,159,107,0,18.2,3.0,0,26.1,0,0.92,0.88,0.12,1
131,9,14.555555555555555,456,76,1,0.03,39.3,5,6.4,0,0.67,0.17,0.56,0
1,5123,0.00019519812609798947,28,0,1,49.36,2.0,0,24.8,1,0.96,0.77,0.19,1
71,11,6.454545454545454,351,102,1,2.37,7.0,0,6.7,0,0.35,0.04,0.56,0
5233,5,1046.6,1946,89,1,0.21,8.0,0,6.0,0,0.92,0.06,0.89,0
17,528,0.032196969696969696,3293,112,1,1.62,5.1,0,1.9,1,0.59,0.22,0.71,0
66784,13393,4.98648547748824,198,95,1,13.34,469.0,17,11.1,1,0.81,0.3,0.3,1
91,5745,0.015839860748476937,5,0,0,12.66,0.0,0,22.0,0,0.85,0.62,0.03,1
354,2780,0.12733812949640289,183,152,1,24.62,9.0,0,23.2,1,0.77,0.5,0.08,1
23,367,0.06267029972752043,2364,99,1,0.82,5.0,0,7.2,0,0.4,0.21,0.78,0
925,147,6.292517006802721,3250,121,1,0.31,15.0,0,1.8,0,0.83,0.22,0.5,0
1,102,0.00980392156862745,468,123,1,2.94,0.3,0,6.6,0,0.64,0.13,0.65,0
658,220,2.9909090909090907,3623,35,1,2.8,66.0,8,3.7,0,0.83,0.23,0.81,0
405,1865,0.21715817694369974,195,158,1,14.2,0.0,0,23.2,0,0.88,0.74,0.07,1
19,98,0.19387755102040816,3465,71,1,0.63,5.7,0,3.7,0,0.41,0.24,0.88,0
326,78,4.17948717948718,502,64,1,3.84,58.0,3,1.0,1,0.79,0.04,0.62,0
1093,196,5.576530612244898,20,152,1,4.03,73.0,1,2.4,0,0.51,0.63,0.31,1
5,1474,0.0033921302578018998,2630,112,1,0.52,1.5,0,3.2,1,0.54,0.09,0.95,0
183,39,4.6923076923076925,2937,63,1,0.16,22.0,2,1.3,0,0.45,0.07,0.88,0
5355,125,42.84,3580,85,1,1.56,7.0,0,4.3,0,0.5,0.12,0.87,0
1602,58,27.620689655172413,20,101,1,1.22,43.0,0,3.6,0,0.31,0.52,0.27,1
97,224,0.4330357142857143,1932,77,1,1.45,29.099999999999998,3,2.1,1,0.61,0.21,0.9,0
44,38,1.1578947368421053,2703,0,1,0.55,13.2,0,7.1,1,0.93,0.16,0.57,0
426,4652,0.09157351676698194,188,134,0,7.21,4.0,0,29.0,1,0.83,0.53,0.1,1
238,16,14.875,1580,77,1,0.03,71.39999999999999,1,5.8,1,0.72,0.14,0.94,0
85,3042,0.027942143326758713,27,0,1,34.01,0.0,0,24.0,0,0.94,0.92,0.05,1
26,18,1.4444444444444444,2468,17,1,0.37,7.0,1,1.9,0,0.76,0.0,0.95,0
50,76,0.6578947368421053,2413,142,1,0.41,8.0,0,0.2,0,0.37,0.11,0.86,0
80660,77250,1.0441423948220065,342,77,1,13.3,581.0,6,11.5,1,0.83,0.37,0.1,1
62,167,0.3712574850299401,3265,95,1,0.42,18.599999999999998,0,5.3,0,0.72,0.08,0.91,0
4063,228,17.82017543859649,45,84,1,4.02,85.0,2,9.7,1,0.53,0.67,0.33,1
71299,10232,6.9682369038311185,279,58,1,4.9,170.0,8,12.4,1,0.81,0.37,0.12,1
445,4157,0.10704835217705076,118,148,1,9.87,2.0,0,27.8,0,0.96,0.73,0.29,1
94,79,1.1898734177215189,1219,77,1,0.34,22.0,2,6.4,0,0.56,0.2,0.62,0
175,139,1.2589928057553956,2825,88,1,1.6,8.0,1,1.0,1,0.82,0.22,0.76,0
52,2669,0.019482952416635443,118,0,1,48.7,1.0,0,17.1,1,0.92,0.73,0.18,1
1,1069,0.0009354536950420954,929,77,1,0.44,0.3,0,4.3,0,0.61,0.02,0.51,0
11,466,0.023605150214592276,3210,45,1,0.33,3.3,0,2.3,0,0.83,0.04,0.94,0
642,79,8.126582278481013,1387,62,1,3.45,12.0,1,0.0,0,0.72,0.22,0.7,0
373,606,0.6155115511551155,3091,16,1,1.6,3.0,0,4.3,0,0.35,0.23,0.73,0
127,3164,0.04013906447534766,45,121,0,27.39,9.0,0,25.9,1,0.85,0.84,0.07,1
345,4504,0.07659857904085257,170,103,1,15.33,5.0,0,28.6,1,0.7,0.5,0.07,1
23,4496,0.005115658362989324,103,18,1,37.48,1.0,0,19.1,0,0.99,0.82,0.13,1
39,31,1.2580645161290323,1248,90,1,0.12,3.0,0,2.7,0,0.66,0.06,0.79,0
34,17,2.0,3032,92,1,0.58,10.2,0,7.4,0,0.84,0.03,0.86,0
102,217,0.4700460829493088,3406,35,1,1.19,0.0,0,4.7,1,0.52,0.09,0.71,0
101,4547,0.02221244776775896,94,159,1,18.22,1.0,0,24.4,0,0.75,0.62,0.12,1
3,3411,0.0008795074758135445,34,0,0,17.76,1.0,0,29.8,0,0.85,0.88,0.07,1
94,3220,0.029192546583850933,47,9,0,21.62,1.0,0,20.0,1,0.96,0.65,0.15,1
211,92,2.2934782608695654,733,75,1,0.28,3.0,0,3.4,1,0.89,0.01,0.61,0
136,100,1.36,2983,50,1,1.1,2.0,0,7.1,1,0.75,0.19,0.57,0
89,73,1.2191780821917808,370,77,1,0.43,26.7,3,7.3,0,0.88,0.08,0.67,0
17,186,0.0913978494623656,1190,69,1,1.43,5.0,0,2.0,1,0.7,0.11,0.94,0
408,1206,0.3383084577114428,89,158,1,15.01,2.0,0,21.3,0,0.94,0.78,0.15,1
188,3108,0.06048906048906049,105,128,1,27.42,6.0,0,21.3,0,0.77,0.81,0.24,1
135,3276,0.04120879120879121,87,128,1,25.26,3.0,0,27.9,1,0.72,0.61,0.15,1
561,2476,0.2265751211631664,2709,84,1,2.25,2.0,0,7.8,1,0.49,0.05,0.51,0
11,108,0.10185185185185185,1462,59,1,1.14,3.3,0,5.4,0,0.54,0.09,0.58,0
76850,69530,1.105278297137926,102,62,1,10.82,235.0,10,20.2,1,0.89,0.41,0.16,1
198,3987,0.04966139954853273,13,122,0,19.58,6.0,0,22.1,0,0.8,0.87,0.29,1
41,8,5.125,2040,140,1,0.75,0.0,0,1.3,1,0.34,0.02,0.51,0
74,47,1.574468085106383,2294,72,1,0.66,22.2,1,7.3,0,0.62,0.13,0.85,0
49,6979,0.007021063189568706,108,18,0,39.19,1.0,0,29.0,0,0.88,0.66,0.17,1
41,2564,0.015990639625585022,31,15,0,32.22,2.0,0,24.2,1,0.88,0.77,0.14,1
8723,64,136.296875,1841,59,1,0.04,13.0,1,6.6,1,0.51,0.12,0.77,0
279,3585,0.07782426778242678,34,140,1,25.5,1.0,0,23.0,0,0.98,0.72,0.28,1
103,23,4.478260869565218,3292,71,1,1.17,24.0,1,3.3,0,0.39,0.01,0.57,0
89,4859,0.018316526034163408,87,0,0,30.1,2.0,0,29.3,0,0.99,0.86,0.03,1
439,40,10.975,800,52,1,0.51,10.0,1,5.4,0,0.49,0.21,0.75,0
67,1203,0.05569409808811305,64,6,0,32.45,1.0,0,25.7,1,0.87,0.87,0.18,1
345,10,34.5,515,25,1,0.09,3.0,0,3.3,0,0.43,0.15,0.8,0
796,453,1.7571743929359824,77,114,1,2.1,24.0,1,5.9,0,0.5,0.66,0.44,1
37,83,0.4457831325301205,633,89,1,0.7,3.0,0,3.0,1,0.86,0.06,0.93,0
59,3277,0.018004272200183094,108,0,0,47.13,1.0,0,22.5,1,0.9,0.88,0.08,1
1563,1409,1.1092973740241305,3949,73,1,0.28,49.0,1,1.1,1,0.37,0.06,0.64,0
1208,153,7.895424836601308,259,77,1,0.14,4.0,0,1.9,0,0.45,0.09,0.83,0
137,37,3.7027027027027026,1700,65,1,0.45,0.0,0,0.7,0,0.61,0.16,0.87,0
399,2902,0.13749138525155066,39,152,0,20.81,6.0,0,22.5,0,0.84,0.63,0.26,1
37661,66194,0.5689488473275524,132,69,1,6.53,93.0,2,19.3,0,0.82,0.69,0.3,1
3,93,0.03225806451612903,1345,72,1,0.08,0.8999999999999999,0,3.7,0,0.61,0.04,0.73,0
85,3623,0.023461219983439138,53,0,0,20.64,2.0,0,29.8,0,0.93,0.82,0.11,1
3568,32,111.5,967,73,1,0.5,2.0,0,5.0,1,0.42,0.15,0.8,0
181,1877,0.09643047416089505,1029,56,1,0.59,12.0,0,5.3,1,0.62,0.18,0.69,0
139,135,1.0296296296296297,2211,118,1,0.29,20.0,1,5.4,0,0.5,0.03,0.78,0
16,11,1.4545454545454546,2469,35,1,0.33,4.8,0,3.1,0,0.73,0.13,0.82,0
96,4,24.0,2538,41,0,0.57,6.0,0,3.3,0,0.56,0.1,0.74,0
454,4813,0.0943278620403075,158,109,1,9.56,6.0,0,27.7,0,0.96,0.84,0.07,1
24,632,0.0379746835443038,3980,48,1,1.44,3.0,0,5.7,1,0.9,0.02,0.91,0
355,3664,0.0968886462882096,88,157,0,26.89,4.0,0,27.5,0,0.97,0.8,0.13,1
1044,356,2.932584269662921,2147,71,1,0.09,23.0,1,4.2,0,0.46,0.01,0.68,0
138,1038,0.1329479768786127,76,108,1,25.85,1.0,0,20.9,0,0.96,0.8,0.06,1
64330,71258,0.9027758286788852,88,91,1,10.73,417.0,16,15.8,0,0.61,0.66,0.4,1
25,912,0.027412280701754384,790,123,0,0.06,0.0,0,2.6,0,0.32,0.08,0.87,0
595,2019,0.29470034670629025,773,92,1,0.48,13.0,1,1.7,0,0.64,0.13,0.91,0
15,6734,0.0022275022275022277,89,0,0,35.93,0.0,0,17.1,1,0.9,0.78,0.02,1
114,10,11.4,2057,125,1,0.44,2.0,0,7.1,1,0.39,0.12,0.84,0
82,50,1.64,426,137,1,1.36,24.599999999999998,3,4.9,1,0.75,0.1,0.75,0
68823,66682,1.032107615248493,415,94,1,7.67,332.0,5,24.6,1,0.83,0.64,0.17,1
376,1172,0.32081911262798635,154,116,1,29.16,9.0,0,26.3,0,0.84,0.57,0.1,1
27,49,0.5510204081632653,2949,94,1,0.49,3.0,0,2.5,1,0.76,0.03,0.87,0
67,160,0.41875,1678,65,1,0.55,20.099999999999998,1,5.3,1,0.53,0.18,0.64,0
1006,745,1.3503355704697986,627,106,1,1.7,296.0,11,0.7,1,0.94,0.01,0.8,0
89,602,0.1478405315614618,2229,56,1,0.5,5.0,0,7.6,0,0.69,0.03,0.95,0
600,2610,0.22988505747126436,2328,71,1,0.49,40.0,1,4.0,0,0.7,0.21,0.57,0
25585,24554,1.0419890852814206,150,30,1,5.15,52.0,1,16.8,0,0.64,0.47,0.4,1
345,2590,0.13320463320463322,196,158,0,10.29,8.0,0,21.0,0,0.88,0.68,0.06,1
2173,166,13.090361445783133,53,141,1,1.09,58.0,1,8.7,0,0.39,0.77,0.37,1
116,348,0.3333333333333333,461,69,1,0.12,26.0,2,7.8,1,0.6,0.05,0.84,0
15,375,0.04,1886,96,1,0.08,4.5,0,7.2,0,0.63,0.16,0.75,0
26,5,5.2,2311,94,1,0.23,7.8,0,0.1,1,0.82,0.23,0.68,0
532,239,2.225941422594142,610,83,1,2.51,12.0,0,0.8,1,0.63,0.2,0.57,0
2183,391,5.58312020460358,82,125,1,2.5,63.0,2,4.9,1,0.53,0.57,0.24,1
0,510,0.0,416,26,1,0.2,0.0,0,2.8,1,0.94,0.23,0.76,0
629,106,5.933962264150943,2723,19,1,0.06,188.7,20,4.0,0,0.62,0.04,0.79,0
35,16,2.1875,981,68,1,0.59,10.5,1,1.3,0,0.81,0.03,0.68,0
48,97,0.4948453608247423,3694,113,1,1.35,11.0,0,2.0,0,0.88,0.11,0.7,0
1796,450,3.991111111111111,2766,98,1,0.48,13.0,0,0.8,0,0.5,0.13,0.59,0
133,12,11.083333333333334,2069,103,1,0.72,39.9,0,3.2,0,0.56,0.21,0.94,0
2601,300,8.67,57,149,1,4.35,79.0,0,7.4,0,0.55,0.77,0.26,1
233,68,3.426470588235294,1711,94,1,2.0,51.0,2,2.0,0,0.37,0.06,0.73,0
19,804,0.0236318407960199,3525,70,1,0.47,5.7,0,6.5,0,0.56,0.23,0.6,0
19,29,0.6551724137931034,1033,41,1,1.75,5.7,0,6.9,0,0.34,0.03,0.62,0
208,67,3.1044776119402986,3329,53,0,0.85,8.0,1,3.9,0,0.46,0.25,0.61,0
8,174,0.04597701149425287,3963,107,1,0.3,2.4,0,4.5,1,0.4,0.06,0.61,0
87,185,0.4702702702702703,3937,69,1,1.8,6.0,0,1.2,0,0.7,0.02,0.9,0
122,1206,0.1011608623548922,3286,80,1,0.5,36.6,4,7.1,1,0.9,0.2,0.94,0
193,16,12.0625,2527,154,1,0.52,5.0,0,3.5,0,0.59,0.08,0.64,0
460,3749,0.12269938650306748,132,135,0,22.12,7.0,0,20.8,0,0.94,0.74,0.13,1
181,42,4.309523809523809,2768,80,1,0.83,7.0,0,5.5,0,0.91,0.03,0.65,0
74,296,0.25,1219,70,1,0.13,22.2,2,4.4,1,0.62,0.17,0.51,0
24,1847,0.012994044396318355,70,0,0,27.14,1.0,0,25.3,1,0.97,0.7,0.06,1
15180,56,271.07142857142856,2106,90,1,0.37,8.0,0,7.2,1,0.47,0.23,0.86,0
288,4241,0.06790851214336241,1551,57,0,0.28,14.0,0,1.4,1,0.42,0.1,0.83,0
12,7186,0.0016699137211244085,97,0,0,48.39,0.0,0,26.8,1,0.97,0.82,0.03,1
